순위,역코드,역명,인원(명/일)
256,2759,삼산체육관,2431
257,2735,반포,2281
258,315,무악재,2230
259,246,신설동(2),2194
260,2513,김포공항(5),2103
261,2629,삼각지(6),2069
262,2634,약수(6),2047
263,2638,창신,2014
264,2613,불광(6),2010
265,2532,충정로(5),1982
266,431,동작,1838
267,2635,청구(6),1752
268,2614,독바위,1748
269,2754,부천종합운동장,1729
270,336,학여울,1717
271,2538,청구(5),1620
272,2526,신길(5),1459
273,2633,버티고개,1452
274,2536,을지로4가(5),1378
275,4135,한성백제,1325
276,2558,오금(5),1273
277,2537,동대문역사문화공원(5),1262
278,2541,왕십리(5),1236
279,244,용답,922
280,309,지축,864
281,434,남태령,857
282,250,용두,845
283,247,도림천,760
284,2827,모란(8),749
285,2524,영등포구청(5),717
286,4137,둔촌오륜,565
287,2711,장암,481
288,245,신답,388
